elapsed,in,out,chapter,scene,segment,subject,storyline-importance,shot,primary-topic,secondary-topic,Janina Ramirez,Stephen Harvey,Guest affiliation
00:00:00,0,720,clock,clock,clock,,,,clock,,,,
00:00:28,721,1080,chapter001,scene001,segment001,sting,10,close-up,sting,,TRUE,,
00:00:43,1081,1479,chapter001,scene001,segment002,sting,5,close-up,sting,,TRUE,,
00:00:59,1480,2880,chapter001,scene001,segment003,sting,1,close-up,sting,,TRUE,,
00:01:55,2881,3372,chapter001,scene002,segment004,title,8,title,title,,TRUE,,
00:02:14,3373,5099,chapter002,scene002,segment005,tutankhamun,6,aerial,tutankhamun,,TRUE,,
00:03:24,5100,5099,chapter003,scene002,segment006,tutankhamun,6,talking-heads,tutankhamun,,TRUE,,
00:03:24,5100,5495,chapter004,scene002,segment007,howard carter,3,close-up,howard carter,,TRUE,,
00:03:39,5496,6263,chapter005,scene002,segment008,hc childhood,3,close-up,howard carter,,TRUE,,
00:04:10,6264,7040,chapter006,scene002,segment009,hc family,1,close-up,howard carter,,TRUE,,
00:04:41,7041,7842,chapter007,scene002,segment010,hc painting,7,close-up,howard carter,,TRUE,,
00:05:13,7843,8734,chapter008,scene003,segment011,benefactors,10,close-up,howard carter,,TRUE,,
00:05:49,8735,9444,chapter009,scene004,segment012,nile adventure,1,aerial,howard carter,,TRUE,,
00:06:17,9445,9727,chapter010,scene004,segment013,west bank,3,nest,howard carter,,TRUE,,
00:06:29,9728,10240,chapter011,scene004,segment014,young Howards,10,nest,howard carter,,TRUE,,
00:06:49,10241,11215,chapter012,scene004,segment015,artist waffle - use of artist,8,talking-heads,howard carter,,TRUE,TRUE,
00:07:28,11216,12499,chapter013,scene004,segment016,Howard's traits,5,talking-heads,howard carter,,TRUE,TRUE,
00:08:20,12500,13462,chapter013,scene005,segment017,artisty,1,talking-heads,howard carter,,TRUE,,
00:08:58,13463,14882,chapter013,scene005,segment018,Howard's graft,5,close-up,howard carter,,TRUE,,
00:09:55,14883,15025,chapter013,scene005,segment019,Sudden Cut,1,close-up,howard carter,,TRUE,,
