elapsed,in,oute,out,chapter,scene,segment,subject,storyline-importance,shot,Michaela Strachan,Chris Packham,Megan McCubbin,Gillian Burke,Leif Bersweden,Iolo Williams,primary-topic,secondary-topic,fight,predation,procreation,threat,Guest,Guest affiliation
00:00:00,0,249,250,clock,clock,clock,,,,,,,,,,,,,,,,,
00:00:10,250,439,440,chapter001,scene001,segment001,sting,10,close-up,,,,,,,,,,,,,,
00:00:17,440,598,599,chapter001,scene001,segment002,sting,6,close-up,,,,,,,,,,,,,,
00:00:23,599,939,940,chapter001,scene001,segment003,sting,3,close-up,,,,,,,,,,,,,,
00:00:37,940,1402,1403,chapter001,scene002,segment004,title,5,title,TRUE,TRUE,,,,,,,,,,,,
00:00:56,1403,1615,1616,chapter001,scene002,segment005,title,10,title,TRUE,TRUE,,,,,,,,,,,,
00:01:04,1616,2505,2506,chapter001,scene002,segment006,intro,1,talking-heads,TRUE,,,,,,cuckoo,,,,,,,
00:01:40,2506,2752,2753,chapter001,scene002,segment007,cuckoo,1,aerial,TRUE,,,,,,cuckoo,,TRUE,,,,,
00:01:50,2753,2917,2918,chapter001,scene002,segment008,cuckoo,1,aerial,TRUE,,,,,,cuckoo,,TRUE,,,,,
00:01:56,2918,3686,3687,chapter001,scene002,segment009,cuckoo,1,aerial,TRUE,,,,,,cuckoo,,,,,,,
00:02:27,3687,4001,4002,chapter001,scene002,segment010,cuckoo,1,talking-heads,TRUE,TRUE,,,,,cuckoo,,,,,,,
00:02:40,4002,5515,5516,chapter001,scene003,segment011,cuckoo,1,talking-heads,TRUE,TRUE,,,,,cuckoo,quiz,,,,,,
00:03:40,5516,5905,5906,chapter001,scene004,segment012,cuckoo,10,nest,TRUE,TRUE,,,,,cuckoo,,,,,,,
00:03:56,5906,6425,6426,chapter001,scene004,segment013,cuckoo,6,nest,TRUE,TRUE,,,,,cuckoo,,,,,,,
00:04:17,6426,6967,6968,chapter001,scene004,segment014,cuckoo,3,nest,TRUE,TRUE,,,,,cuckoo,,,,,,,
00:04:38,6968,7083,7084,chapter001,scene004,segment015,cuckoo,3,talking-heads,TRUE,TRUE,,,,,cuckoo,,,,,,,
00:04:43,7084,7412,7413,chapter002,scene004,segment016,meadow pippet,1,talking-heads,TRUE,TRUE,,,,,meadow pippet,,,,,,,
00:04:56,7413,7483,7484,chapter002,scene005,segment017,meadow pippet,1,talking-heads,TRUE,TRUE,,,,,meadow pippet,,,,,,,
00:04:59,7484,7840,7841,chapter002,scene005,segment018,meadow pippet,10,nest,TRUE,TRUE,,,,,meadow pippet,,,,,,,
00:05:13,7841,8320,8321,chapter002,scene005,segment019,meadow pippet,6,nest,TRUE,TRUE,,,,,meadow pippet,,,,,,,
00:05:32,8321,9063,9064,chapter002,scene005,segment020,meadow pippet,3,nest,TRUE,TRUE,,,,,meadow pippet,,,,,,,
00:06:02,9064,9455,9456,chapter002,scene005,segment021,meadow pippet,10,nest,,,,,,,meadow pippet,fox,,TRUE,,TRUE,,
00:06:18,9456,9971,9972,chapter002,scene005,segment022,meadow pippet,6,nest,,,,,,,meadow pippet,fox,,TRUE,,TRUE,,
00:06:38,9972,10113,10114,chapter002,scene005,segment023,meadow pippet,10,nest,,,,,,,meadow pippet,fox,,TRUE,,TRUE,,
00:06:44,10114,10782,10783,chapter002,scene005,segment024,meadow pippet,6,nest,,,,,,,meadow pippet,fox,,TRUE,,TRUE,,
00:07:11,10783,11120,11121,chapter002,scene005,segment025,meadow pippet,3,nest,TRUE,TRUE,,,,,meadow pippet,fox,,TRUE,,TRUE,,
00:07:24,11121,11395,11396,chapter002,scene005,segment026,meadow pippet,1,talking-heads,TRUE,TRUE,,,,,meadow pippet,fox,,,,,,
00:07:35,11396,12929,12930,chapter003,scene006,segment027,predator,1,talking-heads,TRUE,TRUE,,,,,meadow pippet,,,,,,,
00:08:37,12930,13302,13303,chapter003,scene006,segment028,goshawk,1,talking-heads,TRUE,TRUE,,,,,goshawk,,,,,,,
00:08:52,13303,13531,13532,chapter003,scene006,segment029,goshawk,10,nest,,TRUE,,,,,goshawk,,,,,,,
00:09:01,13532,13737,13738,chapter003,scene006,segment030,goshawk,6,nest,,TRUE,,,,,goshawk,,,,,,,
00:09:09,13738,14538,14539,chapter003,scene006,segment031,goshawk,3,nest,,TRUE,,,,,goshawk,,,,,,,
00:09:41,14539,14886,14887,chapter003,scene006,segment032,goshawk,10,nest,,TRUE,,,,,goshawk,,,,,,,
00:09:55,14887,15258,15259,chapter003,scene006,segment033,goshawk,3,nest,,TRUE,,,,,goshawk,,,,,,,
00:10:10,15259,16184,16185,chapter003,scene006,segment034,goshawk,3,nest,,TRUE,,,,,goshawk,,,,,,,
00:10:47,16185,16363,16364,chapter003,scene006,segment035,goshawk,1,nest,,TRUE,,,,,goshawk,,,,,,,
00:10:54,16364,16703,16704,chapter004,scene006,segment036,bats,1,talking-heads,TRUE,TRUE,,,,,bats,,,,,,,
00:11:08,16704,16983,16984,chapter004,scene006,segment037,bats,1,aerial,,TRUE,TRUE,,,,bats,,,,,,,
00:11:19,16984,18102,18103,chapter004,scene006,segment038,bats,3,motage,,TRUE,TRUE,,,,bats,,,,,,,
00:12:04,18103,18331,18332,chapter004,scene006,segment039,bats,3,archive,,,TRUE,,,,bats,,,,,,,
00:12:13,18332,18603,18604,chapter004,scene006,segment040,bats,6,archive,,,TRUE,,,,bats,,,,,,,
00:12:24,18604,19011,19012,chapter004,scene006,segment041,bats,3,archive,,,TRUE,,,,bats,,,,,,,
00:12:40,19012,19195,19196,chapter004,scene006,segment042,bats,6,interview,,,TRUE,,,,bats,,,,,,Mark Warne,Forestry England
00:12:47,19196,19921,19922,chapter004,scene006,segment043,bats,3,bat box,,,TRUE,,,,bats,,,,,,Mark Warne,Forestry England
00:13:16,19922,20081,20082,chapter004,scene006,segment044,bats,10,bat handling,,,TRUE,,,,bats,,,,,,Mark Warne,Forestry England
00:13:23,20082,20944,20945,chapter004,scene006,segment045,bats,3,bat handling,,,TRUE,,,,bats,,,,,,Mark Warne,Forestry England
00:13:57,20945,21281,21282,chapter004,scene006,segment046,bats,10,bat handling,,,TRUE,,,,bats,,,,,,Mark Warne,Forestry England
00:14:11,21282,21863,21864,chapter004,scene006,segment047,bats,3,bat handling,,,TRUE,,,,bats,,,,,,Mark Warne,Forestry England
00:14:34,21864,22659,22660,chapter004,scene006,segment048,bats,6,bat handling,,,TRUE,,,,bats,,,,,,Mark Warne,Forestry England
00:15:06,22660,23528,23529,chapter004,scene006,segment049,bats,3,bat handling,,,TRUE,,,,bats,,,,,,Mark Warne,Forestry England
00:15:41,23529,25317,25318,chapter004,scene006,segment050,bats,1,talking-heads,,,TRUE,,,,bats,,,,,,,
00:16:52,25318,25788,25789,chapter005,scene006,segment051,terns,1,intro,,,TRUE,,,,terns,,,,,,,
00:17:11,25789,27058,27059,chapter005,scene006,segment052,terns,1,talking-heads,,,TRUE,TRUE,,,terns,,,,,,,
00:18:02,27059,27427,27428,chapter005,scene006,segment053,terns,10,long shot,,,,TRUE,,,terns,,,,,,,
00:18:17,27428,27823,27824,chapter005,scene006,segment054,terns,6,long shot,,,,TRUE,,,terns,,,,,,,
00:18:32,27824,28150,28151,chapter005,scene006,segment055,terns,3,long shot,,,,TRUE,,,terns,,,,,,,
00:18:46,28151,28496,28497,chapter005,scene006,segment056,sand-eels,10,underwater,,,,TRUE,,,sand-eels,,,,,,,
00:18:59,28497,28932,28933,chapter005,scene006,segment057,sand-eels,6,underwater,,,,TRUE,,,sand-eels,,,,,,,
00:19:17,28933,29432,29433,chapter005,scene006,segment058,sand-eels,3,talking-heads,,,,TRUE,,,sand-eels,,,,,,,
00:19:37,29433,30251,30252,chapter005,scene006,segment059,sand-eels,1,montage,,,,TRUE,,,sand-eels,,,,,,,
00:20:10,30252,31086,31087,chapter005,scene006,segment060,sand-eels,1,montage,,,,TRUE,,,sand-eels,climate change,,,,,,
00:20:43,31087,31904,31905,chapter005,scene006,segment061,sand-eels,1,underwater,,,,TRUE,,,sand-eels,climate change,,,,,,
